|gx=.11486 , gy=.00000, gz=.36621, ax=.00000, ay=.18310, az=.00000 
| |gx=.11450 , gy=.00000, gz=.30517, ax=.00000, ay=.18310, az=.00000 
| |gx=.11450 , gy=.00000, gz=.30517, ax=.00000, ay=.18310, az=.00000 
| |gx=.11486 , gy=.00000, gz=.36621, ax=.00000, ay=.18310, az=.00000 
|                                                                                                
